time,order,nn_distance
0,0.020803609890759488,13.9558982800908
1,0.03171345936805981,13.943319899085266
2,0.04284721048993309,13.874760053209007
3,0.05245982859524192,13.716739879297556
4,0.06085707504694926,13.494240027141686
5,0.09613118884551705,13.278354660888178
6,0.10628844685004077,13.047916722802816
7,0.11707682482545985,12.812485785185826
8,0.13251788894117797,12.576912198559919
9,0.14122530250873114,12.35291900467539
10,0.12197641476192352,12.156979172418495
11,0.12127303142939247,11.967673175960774
12,0.11965752046031537,11.782428594610337
13,0.12261019306735953,11.620028130348697
14,0.13060656194061224,11.462437720994819
15,0.12673856974373007,11.31367042098173
16,0.11527768134048495,11.176175549226917
17,0.11148490175942916,11.048745128388207
18,0.09874668043137308,10.915158748923902
19,0.09907274527157142,10.800551536234819
20,0.10860852051907542,10.681440800687898
21,0.11448966376602898,10.548089826762757
22,0.11819145519238662,10.409215542342084
23,0.11864085207370151,10.271220997348088
24,0.11079048142765478,10.163868358298322
25,0.08772208174170634,10.040778265854708
26,0.0870578741242438,9.952458763262603
27,0.07800110034999234,9.849962100741468
28,0.07372297145465329,9.739975300183207
29,0.07498182099345754,9.617426019029091
30,0.09236489319939109,9.503794834864232
31,0.09622955517712292,9.392486010233931
32,0.11063781400348166,9.286656260147385
33,0.11525088467916161,9.182380640916906
34,0.12426337645162568,9.095467676605672
35,0.12733089556645674,9.017437345362044
36,0.14650782120655267,8.936768438188205
37,0.16540739732907572,8.867712555411371
38,0.1701031605436101,8.795992512676879
39,0.18526019326387386,8.7403415638836
40,0.19877422904787106,8.677574617008261
41,0.20921364169689124,8.620682844515025
42,0.22488773551968716,8.55380518027749
43,0.23098928881240027,8.487367364903642
44,0.2200772447350884,8.415455086112049
45,0.22268604586424723,8.352946079847419
46,0.21868549726741363,8.298465929268168
47,0.21461622030912816,8.23910658839614
48,0.21079857553772707,8.18404328947718
49,0.2095644052196226,8.13547789706851
50,0.20936740648447444,8.07894764040179
51,0.21842152960138703,8.03767034946187
52,0.21264251765368744,7.99334255857622
53,0.2167334820108712,7.937964259390636
54,0.192210523805796,7.871806295394798
55,0.1843230967358215,7.801705803287137
56,0.17210757704043975,7.723193020966599
57,0.1724186786589474,7.660613820173073
58,0.1557410634482262,7.592037855099002
59,0.15094720205798182,7.518831337219648
60,0.1546732569997944,7.457374656489005
61,0.13280207717626002,7.371454972799595
62,0.12896471543683366,7.2961297183578315
63,0.12037404564567494,7.236128557694184
64,0.1167786374737287,7.174369350453309
65,0.11131532699155187,7.107829820589607
66,0.11494629187208641,7.048210000156917
67,0.11418860940046631,6.991953366848321
68,0.1181006341068559,6.949771281763697
69,0.13103816953975814,6.900795082065745
70,0.1300630945827856,6.8295671615377
71,0.13578406914288835,6.761170072441336
72,0.12835746070030515,6.708972385572646
73,0.13304788437835802,6.66828543147003
74,0.13349072540713489,6.6274310964480545
75,0.13200823459840644,6.562540464582923
76,0.12080430620214491,6.5137871653864385
77,0.1041442285553972,6.475488002398929
78,0.0947634186744605,6.434622427809834
79,0.09108668530685846,6.409142467949851
80,0.0947631571979837,6.379814088204876
81,0.09003271913107708,6.354115293576067
82,0.08746542681538381,6.318187759925686
83,0.0766494422588273,6.2997765207315135
84,0.07927322000307284,6.285704558844177
85,0.08082999784225367,6.26914301162534
86,0.07827930026080925,6.250396212341245
87,0.07647713309257155,6.220790824507261
88,0.07323762814181042,6.207412507233934
89,0.08386995748304502,6.182788945295223
90,0.09268138575359311,6.154719383593488
91,0.08254258741558329,6.123817165534413
92,0.10336988718594699,6.102503685920672
93,0.08672236027677858,6.09556628605536
94,0.10033193989775255,6.087682449647574
95,0.0905151420930709,6.054738777541115
96,0.0818303174306348,6.036650625472811
97,0.07669544601903705,6.0135311715172115
98,0.07468494876332435,5.9818868797725075
99,0.07997996755255296,5.9648578416376825
100,0.07533336615259335,5.925402802198074
101,0.07695505683953738,5.895579117444741
102,0.0773595168189374,5.881976637668124
103,0.07922625869740862,5.86070079308496
104,0.07925743966023427,5.840316795315891
105,0.07732355473650022,5.826128349531143
106,0.07560417633709957,5.81156043112873
107,0.08236753173152088,5.78550859024886
108,0.06472028494471495,5.767798490231758
109,0.05481093357081288,5.734895471276272
110,0.05194803185258278,5.703823607898107
111,0.05416915240500301,5.657721089223142
112,0.03698644102923328,5.61911816911575
113,0.03193769385007517,5.5862503260875505
114,0.029348833932202546,5.56459530711319
115,0.03660208347586708,5.5632450273354195
116,0.03937926785650023,5.533558210611016
117,0.04955102173982063,5.526197324580409
118,0.04074744948723895,5.5192993865088695
119,0.042574762191904904,5.512654131344195
120,0.04383400740397875,5.489099120259528
121,0.04865780661707905,5.474539368181955
122,0.07214395869029973,5.452834232578371
123,0.08278376703057862,5.4402922990464795
124,0.091217543481535,5.414505178738694
125,0.09639296281887623,5.397352962981603
126,0.09950972058029717,5.373298813240029
127,0.09190633270554212,5.347712498029234
128,0.09381670124254207,5.315879749489656
129,0.10412485037198344,5.267581276515617
130,0.11263044680990918,5.230222406942025
131,0.11552063662271139,5.212308889262568
132,0.12856152576349808,5.180270789162696
133,0.14352966296822844,5.148455285074698
134,0.15514952146541366,5.119845472506463
135,0.17669978058596666,5.103071031948033
136,0.18211636051132263,5.094419339130279
137,0.18370418332319663,5.0879209638503
138,0.17609078054935726,5.071125659022411
139,0.17051244531246557,5.050534843557496
140,0.15730606483229959,5.03675704869624
141,0.14620210775765688,5.027483938771548
142,0.1469906753180473,5.009695023226945
143,0.16141448009386894,4.993417751563332
144,0.1599474850663503,4.9813191619411255
145,0.16464070081385912,4.968207975956171
146,0.18176933451794927,4.9468412874124565
147,0.18940733288236494,4.9367101803977285
148,0.19175176934183702,4.930965881815657
149,0.18173113675225883,4.935181439111265
150,0.18450040508655552,4.920127541735439
151,0.1648368634648426,4.902812924097663
152,0.15352421178759415,4.882339576601941
153,0.13223470646744218,4.8549544109892055
154,0.12584005286772365,4.846016222792587
155,0.1194779665770416,4.83190250138731
156,0.10579389406636606,4.827240618432473
157,0.1005520653062346,4.816921985270815
158,0.10555185292803852,4.8100084073176275
159,0.1139313789213892,4.8049178041806915
160,0.09027941603437824,4.798777895595378
161,0.08263754167741193,4.774759436110577
162,0.08241492047627313,4.7415437603982085
163,0.08129814428038667,4.710686986163238
164,0.07893540160194874,4.692498199092486
165,0.08806953472389584,4.668105233693356
166,0.09055688051150027,4.638610572888159
167,0.09747836476665313,4.610885923167927
168,0.09419107765650377,4.5920353858495595
169,0.10159838582683946,4.583279167127063
170,0.09604138122960584,4.578654361139424
171,0.07334581703508265,4.571800610264767
172,0.08966149197064785,4.565428854847985
173,0.08522601413020438,4.549932924778826
174,0.08769799011923766,4.5452735242736955
175,0.08391300562526015,4.545394254213918
176,0.07324681889655033,4.54499055854747
177,0.06763540047464013,4.5408263372333355
178,0.060620925416914086,4.5463472416839075
179,0.046479659827624274,4.53840044314439
180,0.04509095633406884,4.532377368772253
181,0.0452199118423289,4.513031725405139
182,0.04970836998800657,4.506960434936383
183,0.05396241535430961,4.494097991869043
184,0.0516764177996823,4.482488297323985
185,0.042648861779780285,4.482019396726008
186,0.03632030762081261,4.478840122962133
187,0.0463571558125222,4.480152839412824
188,0.046609284994009265,4.465779955112433
189,0.06289895467783842,4.4407706227592305
190,0.06993564672700149,4.411560642667741
191,0.07337803981999017,4.39163313127494
192,0.08704466765085543,4.3890771460080185
193,0.09188089725461601,4.39111824434635
194,0.086483768063454,4.376554522145465
195,0.07503183464617295,4.364081789177007
196,0.07318524494658274,4.3516854451148905
197,0.0769681904241248,4.331000693344008
198,0.09014826464193883,4.313532588417402
199,0.09381961678398774,4.293585922697078
200,0.10449153639408167,4.278882893879623
201,0.10566255404795047,4.269484315019476
202,0.12041407496175445,4.263473845824639
203,0.14064871321015052,4.256999295484828
204,0.14350169189091366,4.2538733936029045
