Method,Emissions,Duration,Energy Consumed
Identity,0.0149148111068131,1994.7379120620003,0.0427081666043412
Gradient-start,0.0148877004612336,1981.945043051,0.0426305359887158
Gradient,0.0077749546318712,1024.073533769,0.0222633766784662
White Noise,0.0147035979727259,1975.1467342359992,0.0421033633885969
