0	1	2	9.981132075471699	9.886792452830187
0	2	2	10.019417475728154	40.058252427184485
0	3	2	9.903846153846159	70.06730769230771
0	4	2	10.284313725490193	100.01960784313728
0	5	2	10.04807692307692	129.98076923076914
0	6	2	10.074766355140191	160.07476635514024
0	7	2	9.896226415094338	189.97169811320748
0	8	2	40.074766355140206	9.925233644859818
0	9	2	40.1320754716981	39.962264150943405
0	10	2	40.02830188679247	69.89622641509436
0	11	2	39.95370370370372	100.02777777777773
0	12	2	40.009523809523806	130.04761904761907
0	13	2	40.068627450980394	160.18627450980398
0	14	2	39.990476190476215	189.93333333333334
0	15	2	70.0576923076923	10.038461538461538
0	16	2	70.06542056074763	39.915887850467264
0	17	2	69.95238095238096	70.09523809523809
0	18	2	70.11538461538463	100.16346153846153
0	19	2	69.78	129.98
0	20	2	70.01869158878506	160.018691588785
0	21	2	70.13861386138613	189.96039603960395
0	22	2	100.21153846153844	9.894230769230774
0	23	2	100	40
0	24	2	100.02777777777777	70.0462962962963
0	25	2	100.00000000000001	100
0	26	2	100.09615384615387	129.84615384615384
0	27	2	99.98130841121495	159.981308411215
0	28	2	100.00952380952376	190.0857142857143
0	29	2	129.88679245283018	10.056603773584909
0	30	2	129.98076923076925	40.019230769230774
0	31	2	129.79611650485435	70.0776699029126
0	32	2	130.06603773584905	99.90566037735849
0	33	2	130.01904761904763	130.01904761904757
0	34	2	130.03960396039605	159.99009900990114
0	35	2	129.92380952380952	190.06666666666663
0	36	2	159.98130841121494	10.018691588785044
0	37	2	159.99029126213586	40.09708737864078
0	38	2	159.97087378640782	69.91262135922331
0	39	2	159.97058823529406	99.81372549019605
0	40	2	159.88461538461536	129.9807692307692
0	41	2	159.90476190476193	159.99999999999991
0	42	2	159.98130841121494	190.07476635514013
0	43	2	189.9532710280374	10.093457943925234
0	44	2	189.91000000000005	39.890000000000015
0	45	2	190.06862745098033	70
0	46	2	190.16504854368924	99.86407766990293
0	47	2	190.06730769230774	130.01923076923072
0	48	2	189.93457943925233	159.91588785046727
0	49	2	190.029411764706	189.86274509803923
