0	1	2	10.085714285714282	10.161904761904763
0	2	2	9.9622641509434	55.03773584905658
0	3	2	9.885714285714286	99.97142857142856
0	4	2	9.981308411214954	144.981308411215
0	5	2	10.000000000000002	189.92156862745094
0	6	2	55.049019607843114	9.921568627450982
0	7	2	55.04950495049505	55.178217821782184
0	8	2	55.09523809523809	99.90476190476188
0	9	2	54.95370370370372	144.97222222222217
0	10	2	54.893203883495126	189.93203883495138
0	11	2	100.02777777777777	9.953703703703699
0	12	2	99.99999999999996	55.00000000000001
0	13	2	100.00000000000004	99.99999999999999
0	14	2	99.99999999999999	145
0	15	2	100.00000000000004	189.99999999999997
0	16	2	145.00000000000014	10.095238095238095
0	17	2	144.87499999999994	54.942307692307686
0	18	2	145.0961538461539	99.96153846153847
0	19	2	145.0747663551403	144.92523364485982
0	20	2	145.14999999999992	190.17
0	21	2	190.0462962962963	10.027777777777773
0	22	2	190.0462962962963	54.97222222222221
0	23	2	189.79207920792072	100.00990099009898
0	24	2	189.85714285714283	145.09183673469389
0	25	2	190.0380952380953	190.10476190476183
0	26	1	17	79
0	27	1	148.4	26.6
0	28	1	179	99
0	29	1	155	85
0	30	1	71	55.5
0	31	1	98	69
0	32	1	197	147.5
0	33	1	166	8
0	34	1	133.5	184.5
0	35	1	125	118
0	36	1	123.5	57.5
0	37	1	40	124
0	38	1	159	35
0	39	1	194.33333333333334	36.333333333333336
0	40	1	167	152
0	41	1	64.33333333333333	21.333333333333332
0	42	1	37	70
0	43	1	189.33333333333334	133
0	44	1	91.77777777777777	129
0	45	1	89	84
0	46	1	127.5	87.5
0	47	1	179	79
0	48	1	56	30.4
0	49	1	121	85.5
0	50	1	158	99.5
0	51	1	118.5	30.5
0	52	1	107	114.8
0	53	1	172.33333333333334	38.333333333333336
0	54	1	18.25	150.25
0	55	1	123	130
0	56	1	36	140.5
0	57	1	141	161
0	58	1	23.5	161
0	59	1	26	159
0	60	1	3	21.333333333333332
0	61	1	128.5	53
0	62	1	122	105.5
0	63	1	70.4	110.2
0	64	1	108.5	135.5
0	65	1	3.6666666666666665	100.33333333333333
0	66	1	20	38
0	67	1	76	168
0	68	1	94.5	26.5
0	69	1	2.4	87.8
0	70	1	146	88.5
0	71	1	67.5	194.5
0	72	1	140.5	199
0	73	1	124	141
0	74	1	65	29
0	75	1	116	171
