0	1	2	10.087378640776704	9.854368932038833
0	2	2	9.953703703703708	100.02777777777773
0	3	2	9.941747572815538	190.06796116504853
0	4	2	99.91588785046729	10.065420560747667
0	5	2	100	99.99999999999996
0	6	2	100	190.0288461538461
0	7	2	189.9722222222222	9.953703703703702
0	8	2	190.23300970873774	99.88349514563107
0	9	2	189.94339622641508	189.98113207547163
0	10	1	160	27
0	11	1	168	159
0	12	1	111	184
0	13	1	182	104
0	14	1	63	34
0	15	1	119.25	18
0	16	1	160	145
0	17	1	78	7
0	18	1	121	132
0	19	1	77	178
0	20	1	102.5	112
0	21	1	36	195.5
0	22	1	22	44.5
0	23	1	11	168
0	24	1	89	115.5
0	25	1	19.5	148.5
0	26	1	185.6	150.8
0	27	1	30	149
0	28	1	153	128
0	29	1	101.8	46.6
0	30	1	199	66
0	31	1	155	57
0	32	1	157	162
0	33	1	94.5	23.5
0	34	1	33.857142857142854	91.42857142857143
0	35	1	92.33333333333333	116
0	36	1	79	91
0	37	1	14.333333333333334	17
0	38	1	71	167
0	39	1	39	192
0	40	1	62.6	113.2
0	41	1	7	40
0	42	1	117	193
0	43	1	194	198.66666666666666
0	44	1	191.5	159
0	45	1	150.5	166.5
0	46	1	136	179
0	47	1	171.5	152
0	48	1	54.666666666666664	54
0	49	1	49.75	137
0	50	1	129	49
0	51	1	33.5	32.5
0	52	1	60.5	79
0	53	1	163	111
0	54	1	153.5	102.5
0	55	1	118	121
0	56	1	175	134.5
0	57	1	7	49
0	58	1	120	103
0	59	1	55.5	33.5
0	60	1	53	130.5
0	61	1	124	180
0	62	1	86	87
0	63	1	63.300000000000004	26.900000000000002
0	64	1	108	22
0	65	1	174.4	141.8
0	66	1	73	157
0	67	1	152	2
0	68	1	173.33333333333334	134
0	69	1	108.2	165.6
0	70	1	42	62
0	71	1	142	86.66666666666667
0	72	1	28.25	151
0	73	1	25	53.5
0	74	1	1.5	33
0	75	1	123	30
0	76	1	44.333333333333336	38
0	77	1	121	52.75
0	78	1	179.75	13
0	79	1	101	180
0	80	1	120.75	11
0	81	1	104.75	79.75
0	82	1	68	66
0	83	1	35.333333333333336	8.666666666666666
0	84	1	81.75000000000001	113.25
0	85	1	194.8	184
0	86	1	110	42
0	87	1	153.5	112.5
0	88	1	169	6.5
0	89	1	65.5	47.5
10	1	2	9.826530612244897	9.663265306122444
10	2	2	9.950000000000008	100.29000000000005
10	3	2	10.120000000000005	190.11999999999992
10	4	2	99.765306122449	9.979591836734695
10	5	2	100.23	99.97999999999999
10	6	2	99.93	190.18999999999994
10	7	2	189.86315789473682	9.852631578947362
10	8	2	190.5463917525773	99.96907216494846
10	9	2	189.62886597938152	190.1443298969073
10	10	1	161.45161290322582	27.854838709677416
10	11	1	168.02884615384613	158.21153846153845
10	12	1	112.7123287671233	183.05479452054794
10	13	1	182.35106382978722	104.17021276595747
10	14	1	64.31182795698923	33.91397849462366
10	15	1	117.5204081632653	19.244897959183675
10	16	1	160.53571428571425	144.6696428571428
10	17	1	79.73856209150328	6.503267973856209
10	18	1	123.18232044198894	133.19337016574588
10	19	1	77.96875000000003	175.5729166666667
10	20	1	102.94594594594597	113.42567567567565
10	21	1	36.16923076923077	197.4
10	22	1	22.91935483870969	44.314516129032285
10	23	1	10.576923076923077	169.3461538461538
10	24	1	87.60240963855419	116.20481927710841
10	25	1	19.780952380952385	149.17142857142863
10	26	1	185.02307692307687	150.64615384615388
10	27	1	30.351351351351365	146.16216216216213
10	28	1	153.3012048192772	128.48192771084337
10	29	1	101.19685039370077	47.086614173228334
10	30	1	197.5891472868217	67.58139534883719
10	31	1	155.76033057851242	57.09917355371901
10	32	1	155.84146341463415	160.84146341463412
10	33	1	95.01960784313727	23.888888888888886
10	34	1	32.15346534653466	91.60891089108914
10	35	1	93.16101694915254	120.06779661016948
10	36	1	80.83333333333331	91.25000000000001
10	37	1	13.850000000000001	19.499999999999996
10	38	1	70.7840909090909	167.01136363636363
10	39	1	40.400000000000006	194.3076923076923
10	40	1	63.33333333333332	112.52000000000001
10	41	1	6.644444444444446	41.31111111111111
10	42	1	118.10416666666667	192.7916666666667
10	43	1	194.0728476821192	0.225165562913907
10	44	1	191.70093457943923	160.26168224299064
10	45	1	150.96428571428567	166.09523809523807
10	46	1	133.95	179.28749999999997
10	47	1	172.99065420560754	151.57943925233644
10	48	1	54.57692307692307	55.50769230769232
10	49	1	51.88118811881188	137.04950495049508
10	50	1	129.45348837209303	47.651162790697676
10	51	1	34.65000000000001	32.816666666666656
10	52	1	60.91044776119404	78.4179104477612
10	53	1	164.2357142857143	109.27142857142853
10	54	1	155.41836734693877	101.20408163265304
10	55	1	119.3662790697675	120.47093023255815
10	56	1	174.8448275862069	132.08620689655174
10	57	1	7.717647058823528	49.10588235294119
10	58	1	121.43410852713183	104.58139534883722
10	59	1	55.17796610169493	34.93220338983051
10	60	1	53.42424242424242	129.4949494949495
