0	1	2	9.981308411214954	9.925233644859809
0	2	2	9.88888888888889	39.74747474747475
0	3	2	9.86538461538462	69.8173076923077
0	4	2	10.066666666666668	99.8857142857143
0	5	2	9.970297029702971	129.92079207920796
0	6	2	10.047169811320762	160.0754716981132
0	7	2	10.000000000000004	189.99999999999994
0	8	2	40.019417475728154	9.95145631067961
0	9	2	40.09523809523809	40.04761904761906
0	10	2	39.885714285714286	69.93333333333334
0	11	2	40.12264150943397	100.09433962264154
0	12	2	39.86274509803924	130.18627450980395
0	13	2	40.009523809523806	160.0666666666667
0	14	2	39.97222222222223	190.04629629629622
0	15	2	69.99029126213591	9.844660194174757
0	16	2	69.81188118811883	40.019801980198025
0	17	2	69.81730769230768	70.13461538461537
0	18	2	69.95192307692308	100.02884615384613
0	19	2	69.90291262135922	129.92233009708735
0	20	2	69.98130841121495	160.01869158878498
0	21	2	70	189.99999999999994
0	22	2	99.84761904761908	9.952380952380954
0	23	2	99.95370370370371	40.027777777777786
0	24	2	99.96190476190469	69.83809523809519
0	25	2	99.88679245283018	100.01886792452827
0	26	2	99.88679245283018	129.88679245283018
0	27	2	99.91	160.14
0	28	2	100.03773584905656	190.1320754716981
0	29	2	129.9029126213593	10.038834951456316
0	30	2	129.8316831683169	39.94059405940595
0	31	2	130.21153846153845	70.14423076923079
0	32	2	129.95283018867926	100.02830188679246
0	33	2	130.0196078431373	130.0392156862745
0	34	2	130.122641509434	160.00000000000003
0	35	2	129.90566037735846	190.0377358490565
0	36	2	159.91588785046727	10.065420560747667
0	37	2	159.9019607843137	40.05882352941177
0	38	2	160.089108910891	69.98019801980197
0	39	2	160.1132075471698	99.94339622641508
0	40	2	159.98130841121494	130.01869158878498
0	41	2	159.847619047619	160.04761904761898
0	42	2	160.0462962962963	190.0277777777778
0	43	2	190.1132075471698	9.981132075471697
0	44	2	189.90099009900982	39.91089108910891
0	45	2	190.04716981132077	69.9245283018868
0	46	2	189.843137254902	100.06862745098037
0	47	2	190.14150943396234	130.0566037735849
0	48	2	190.19230769230762	160.03846153846155
0	49	2	190.01000000000002	190.04000000000005
0	50	1	103.5	110.5
0	51	1	149.5	40.5
0	52	1	72	114
0	53	1	70.6	89
0	54	1	4	138
0	55	1	50.333333333333336	37.333333333333336
0	56	1	82	27
0	57	1	93.5	180.5
0	58	1	108.25	198.5
0	59	1	11.5	176
0	60	1	196.25	40
0	61	1	53.5	94.5
0	62	1	150	49
0	63	1	113	140
0	64	1	199	195.6
0	65	1	153.66666666666666	93
0	66	1	31	179
0	67	1	85.25	54.75
0	68	1	116.33333333333333	162.66666666666666
0	69	1	28	32.5
0	70	1	151	81
0	71	1	36	140.66666666666666
0	72	1	79.5	121
0	73	1	60	132.33333333333334
0	74	1	38.5	20.5
0	75	1	110.25	141
0	76	1	194	30
0	77	1	114	61
0	78	1	46.75	99
0	79	1	124.5	87.5
0	80	1	77.5	36.5
0	81	1	120.8	184.2
0	82	1	4.5	37.5
