0	1	2	9.794117647058822	9.901960784313722
0	2	2	10.046296296296296	55.02777777777779
0	3	2	9.90654205607477	100.04672897196258
0	4	2	9.961538461538462	144.90384615384613
0	5	2	10.029126213592232	189.80582524271844
0	6	2	55.047169811320764	10.066037735849058
0	7	2	54.970297029702955	54.95049504950493
0	8	2	54.94	99.80000000000001
0	9	2	54.89999999999999	144.83
0	10	2	55.04761904761905	189.90476190476193
0	11	2	100.03809523809524	9.838095238095235
0	12	2	100.02884615384615	54.95192307692307
0	13	2	99.99047619047619	99.91428571428571
0	14	2	99.90566037735852	144.87735849056602
0	15	2	99.8118811881188	189.88118811881193
0	16	2	145.1683168316832	10.059405940594058
0	17	2	144.92452830188677	54.95283018867925
0	18	2	145.03773584905665	100.13207547169809
0	19	2	145.12264150943398	145.00000000000003
0	20	2	144.91428571428574	190.0666666666667
0	21	2	190.00000000000003	10.000000000000004
0	22	2	189.9252336448598	54.92523364485981
0	23	2	190.02777777777777	99.95370370370372
0	24	2	189.7500000000001	144.83000000000007
0	25	2	190.11538461538467	189.83653846153845
0	26	1	174.33333333333334	3.3333333333333335
0	27	1	28	80
0	28	1	198.5	80.5
0	29	1	160.5	35
0	30	1	31	141.5
0	31	1	69	185
0	32	1	150.5	128.66666666666666
0	33	1	199.1	62.00000000000001
0	34	1	181	40
0	35	1	130	183
0	36	1	3	172
0	37	1	24.333333333333332	141.33333333333334
0	38	1	45.666666666666664	164.66666666666666
0	39	1	62.5	90.25
0	40	1	129.5	4
0	41	1	75	133
0	42	1	196.5	182.5
0	43	1	123.5	195
0	44	1	156.5	30
0	45	1	23.5	157.5
0	46	1	158	155
0	47	1	74	38
0	48	1	105.25	36.75
0	49	1	135.66666666666666	195.33333333333334
0	50	1	87.4	119
0	51	1	181.5	144.5
0	52	1	196	8
0	53	1	140.5	156.5
0	54	1	182	56
0	55	1	75.5	129.5
0	56	1	144	90.66666666666667
0	57	1	168	113
0	58	1	19.666666666666668	184.66666666666666
0	59	1	3.272727272727273	183.63636363636365
0	60	1	37	65
0	61	1	172	140
0	62	1	151.5	86
0	63	1	16.5	141.5
0	64	1	21	135.66666666666666
0	65	1	138.66666666666666	137.33333333333334
0	66	1	160.5	119
0	67	1	138.5	90.5
0	68	1	168	157
0	69	1	61.25	33.75
0	70	1	87	164
0	71	1	109.5	90.5
0	72	1	113	104.5
0	73	1	92	133
0	74	1	115	74
0	75	1	41	149
0	76	1	11.2	29.4
0	77	1	117.5	56.5
0	78	1	27.5	88
0	79	1	98	138
0	80	1	156.5	177
0	81	1	69.5	133
0	82	1	42.6	149
0	83	1	39	41
0	84	1	138	179
0	85	1	145.5	134.5
0	86	1	7	169.5
0	87	1	121	22
0	88	1	79	96
0	89	1	99	29.5
0	90	1	59	35.25
0	91	1	174	174
0	92	1	10.5	2.5
0	93	1	15	41
0	94	1	24.8	8.8
0	95	1	33.666666666666664	195.33333333333334
0	96	1	149.75	121
0	97	1	118.25	34.5
0	98	1	160	69
0	99	1	132.5	101.5
0	100	1	128	89
0	101	1	126	43
0	102	1	40.5	90
0	103	1	135	191
0	104	1	110.33333333333333	184
0	105	1	38.333333333333336	32.666666666666664
10	1	2	9.895833333333332	10.0625
10	2	2	10.050000000000004	54.98000000000001
10	3	2	9.899999999999997	100.16
10	4	2	9.46153846153846	145.30769230769226
10	5	2	10.516483516483522	190.37362637362634
10	6	2	55.239999999999995	10.079999999999997
10	7	2	54.97999999999999	55.05
10	8	2	54.95	99.71000000000001
10	9	2	54.83999999999998	144.9
10	10	2	54.87999999999998	189.88
10	11	2	99.88000000000001	9.879999999999995
10	12	2	100.12	54.88
10	13	2	99.82828282828284	99.89898989898988
10	14	2	99.81249999999999	145.26041666666666
10	15	2	99.5876288659794	189.97938144329896
10	16	2	145.1199999999999	10.12
10	17	2	145	54.930000000000014
10	18	2	145.08333333333331	100.52083333333339
10	19	2	145.41935483870972	145.4516129032258
10	20	2	145.0721649484536	189.92783505154637
10	21	2	189.8900000000001	9.839999999999996
10	22	2	189.8865979381443	54.8659793814433
10	23	2	190	99.71000000000002
10	24	2	190	145.07291666666669
10	25	2	190.1734693877551	190.16326530612253
10	26	1	175.18897637795283	3.0629921259842514
10	27	1	26.775510204081638	80.44897959183677
10	28	1	198.98181818181817	80.17272727272729
10	29	1	162.7118644067796	35.77118644067796
10	30	1	32.635294117647064	137.74117647058821
10	31	1	69.3109243697479	184.1932773109244
10	32	1	147.62105263157895	127.67368421052628
10	33	1	198.8265306122449	63.54081632653062
10	34	1	182.04081632653066	39.73469387755101
10	35	1	128.99999999999997	184.33333333333337
10	36	1	1.1862068965517216	169.83448275862074
10	37	1	27.682352941176468	143.21176470588236
10	38	1	42.35256410256408	165.73076923076917
10	39	1	62.97637795275591	88.4803149606299
10	40	1	129.87903225806463	5.475806451612904
10	41	1	75.78571428571426	134.55357142857153
10	42	1	196.95744680851064	183.22695035460995
10	43	1	122.4552845528455	196.85365853658536
10	44	1	154.88793103448273	28.094827586206893
10	45	1	24.985507246376812	159.95652173913052
10	46	1	157.1844660194175	155.45631067961162
10	47	1	74.13846153846154	38.29230769230769
10	48	1	106.60645161290327	38.0258064516129
10	49	1	138.5980392156863	198.75490196078437
10	50	1	89.63917525773192	117.72680412371142
10	51	1	181.37373737373733	146.86868686868698
10	52	1	196.64	9.199999999999998
10	53	1	140.67605633802816	156.8169014084507
10	54	1	182.054054054054	55.891891891891895
10	55	1	74.29999999999998	128.31666666666666
10	56	1	148.0943396226415	89.00943396226414
10	57	1	171.12698412698407	114.67460317460318
10	58	1	21.234567901234577	185.55555555555554
10	59	1	5.724637681159423	183.376811594203
10	60	1	35.43478260869565	65.63768115942031
10	61	1	171.10144927536228	138.92753623188406
10	62	1	157.33582089552235	88.84328358208958
10	63	1	18.358024691358022	142.9876543209875
10	64	1	19.376470588235282	134.3294117647059
10	65	1	137.98823529411771	138.8823529411765
10	66	1	159.75652173913045	117.66956521739128
10	67	1	137.0097087378641	90.3883495145631
10	68	1	167.29702970297026	157.86138613861388
10	69	1	60.94871794871795	32.512820512820504
10	70	1	87.20000000000002	163.73333333333335
10	71	1	108.60199004975125	90.26865671641791
